"Id","TypeName","BranchName","Buy","Sell","BuyValue","SellValue"
"1","Vàng SJC 1L, 10L, 1KG","Hồ Chí Minh","82,700","85,200","8.27E7","8.52E7"
"17","Vàng SJC 5 chỉ","Hồ Chí Minh","82,700","85,220","8.27E7","8.522E7"
"33","Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ","Hồ Chí Minh","82,700","85,230","8.27E7","8.523E7"
"49","Vàng nhẫn SJC 99,99 1 chỉ, 2 chỉ, 5 chỉ","Hồ Chí Minh","82,700","84,200","8.27E7","8.42E7"
"65","Vàng nhẫn SJC 99,99 0.5 chỉ, 0.3 chỉ","Hồ Chí Minh","82,700","84,300","8.27E7","8.43E7"
"81","Nữ trang 99,99%","Hồ Chí Minh","82,600","83,800","8.26E7","8.38E7"
"97","Nữ trang 99%","Hồ Chí Minh","79,970","82,970","7.99702970297E7","8.29702970297E7"
"113","Nữ trang 75%","Hồ Chí Minh","60,006","63,006","6.00062856285E7","6.30062856285E7"
"129","Nữ trang 68%","Hồ Chí Minh","54,140","57,140","5.41396989698E7","5.71396989698E7"
"210","Nữ trang 61%","Hồ Chí Minh","48,273","51,273","4.82731123112E7","5.12731123112E7"
"145","Nữ trang 58,3%","Hồ Chí Minh","46,010","49,010","4.60102860286E7","4.90102860286E7"
"161","Nữ trang 41,7%","Hồ Chí Minh","32,098","35,098","3.20980948094E7","3.50980948094E7"
"2","Vàng SJC 1L, 10L, 1KG","Miền Bắc","82,700","85,200","8.27E7","8.52E7"
"13","Vàng SJC 1L, 10L, 1KG","Hạ Long","82,700","85,200","8.27E7","8.52E7"
"177","Vàng SJC 1L, 10L, 1KG","Hải Phòng","82,700","85,200","8.27E7","8.52E7"
"188","Vàng SJC 1L, 10L, 1KG","Miền Trung","82,700","85,200","8.27E7","8.52E7"
"7","Vàng SJC 1L, 10L, 1KG","Huế","82,700","85,200","8.27E7","8.52E7"
"10","Vàng SJC 1L, 10L, 1KG","Quảng Ngãi","82,700","85,200","8.27E7","8.52E7"
"4","Vàng SJC 1L, 10L, 1KG","Nha Trang","82,700","85,200","8.27E7","8.52E7"
"8","Vàng SJC 1L, 10L, 1KG","Biên Hòa","82,700","85,200","8.27E7","8.52E7"
"9","Vàng SJC 1L, 10L, 1KG","Miền Tây","82,700","85,200","8.27E7","8.52E7"
"16","Vàng SJC 1L, 10L, 1KG","Bạc Liêu","82,700","85,200","8.27E7","8.52E7"
"5","Vàng SJC 1L, 10L, 1KG","Cà Mau","82,700","85,200","8.27E7","8.52E7"
