Id,TypeName,Company,BuyValue,SellValue
1,Hà Nội SJC,PNJ,85000000,87000000
2,Giá vàng nữ trang Vàng 750 (18K),PNJ,63400000,64800000
3,Tây Nguyên SJC,PNJ,85000000,87000000
4,Đông Nam Bộ PNJ,PNJ,85500000,86800000
5,Đông Nam Bộ SJC,PNJ,85000000,87000000
6,Giá vàng nữ trang Nhẫn Trơn PNJ 999.9,PNJ,85500000,86800000
7,Giá vàng nữ trang Vàng nữ trang 999.9,PNJ,85400000,86200000
8,Giá vàng nữ trang Vàng nữ trang 999,PNJ,85310000,86110000
9,Giá vàng nữ trang Vàng nữ trang 99,PNJ,84440000,85440000
10,Giá vàng nữ trang Vàng 916 (22K),PNJ,78560000,79060000
11,Tây Nguyên PNJ,PNJ,85500000,86800000
12,Giá vàng nữ trang Vàng 680 (16.3K),PNJ,57370000,58770000
13,Giá vàng nữ trang Vàng 650 (15.6K),PNJ,54780000,56180000
14,Giá vàng nữ trang Vàng 610 (14.6K),PNJ,51330000,52730000
15,Giá vàng nữ trang Vàng 585 (14K),PNJ,49180000,50580000
16,Giá vàng nữ trang Vàng 416 (10K),PNJ,34610000,36010000
17,Giá vàng nữ trang Vàng 375 (9K),PNJ,31080000,32480000
18,Giá vàng nữ trang Vàng 333 (8K),PNJ,27200000,28600000
19,TPHCM PNJ,PNJ,85500000,86800000
20,Miền Tây SJC,PNJ,85000000,87000000
21,Miền Tây PNJ,PNJ,85500000,86800000
22,Đà Nẵng SJC,PNJ,85000000,87000000
23,Đà Nẵng PNJ,PNJ,85500000,86800000
24,Hà Nội PNJ,PNJ,85500000,86800000
25,TPHCM SJC,PNJ,85000000,87000000
